,user_id,country,sex,height,weight,age,years_cl,date_first,date_last,grades_count,grades_first,grades_last,grades_max,grades_mean,year_first,year_last
0,1,SWE,0,177,73,41.0,21,1999-02-06 23:00:00,2001-07-31 22:00:00,84,36,55,62,46.75,1999,2001
1,3,SWE,0,180,78,44.0,22,1999-03-31 22:00:00,2000-07-19 22:00:00,12,53,51,59,52.833333333333336,1999,2000
2,4,SWE,1,165,58,33.0,16,2004-06-30 22:00:00,2009-05-26 22:00:00,119,53,49,64,53.890756302521005,2004,2009
3,10,SWE,0,167,63,52.0,25,2000-01-14 23:00:00,2017-06-01 22:00:00,298,53,49,63,49.40604026845637,2000,2017
4,16,NOR,0,177,68,44.0,21,1998-02-27 23:00:00,2010-05-13 22:00:00,5,53,49,53,51.4,1998,2010
5,17,SWE,0,193,78,42.0,17,2001-06-19 22:00:00,2002-04-30 22:00:00,4,36,36,36,34.5,2001,2002
6,19,BEL,0,180,68,36.0,21,2000-08-07 22:00:00,2002-03-11 23:00:00,32,49,46,49,37.25,2000,2002
7,28,CAN,0,180,68,45.0,29,2000-09-01 22:00:00,2017-08-25 22:00:00,86,53,46,64,50.395348837209305,2000,2017
8,34,other,0,180,68,21.0,24,1999-12-31 23:00:00,2000-12-31 23:00:00,11,51,46,53,48.36363636363637,2000,2001
9,38,GBR,0,178,73,35.0,24,2000-11-03 23:00:00,2017-07-21 22:00:00,323,55,55,71,57.73684210526316,2000,2017
10,39,NLD,0,178,78,45.0,21,2000-09-09 22:00:00,2000-05-28 22:00:00,8,53,42,53,47.75,2000,2000
11,47,SWE,0,188,83,42.0,17,2001-04-15 22:00:00,2001-04-30 22:00:00,5,29,29,44,33.4,2001,2001
12,48,SWE,0,178,73,39.0,17,2000-06-09 22:00:00,2001-06-17 22:00:00,6,38,44,44,41.0,2000,2001
13,51,SWE,0,181,68,36.0,20,2000-09-05 22:00:00,2008-08-05 22:00:00,233,40,44,62,45.06437768240343,2000,2008
14,52,SWE,0,182,68,35.0,21,1998-12-31 23:00:00,2003-05-07 22:00:00,67,59,57,62,56.16417910447761,1999,2003
15,54,SWE,0,183,73,40.0,18,2000-11-16 23:00:00,2006-09-01 22:00:00,26,51,62,62,49.42307692307692,2000,2006
16,69,USA,0,183,73,47.0,23,2000-09-30 22:00:00,2002-07-21 22:00:00,36,55,51,62,53.52777777777778,2000,2002
17,79,DEU,0,188,83,43.0,26,1999-03-14 23:00:00,2017-08-26 22:00:00,375,62,53,66,56.61066666666667,1999,2017
